ID,sample,Hom_Pred,HomCounts,Tot_Pred,TotCounts
GB,OX5,Low Impact,881,Low Impact,1805
GB,OX5,Moderate Impact,694,Moderate Impact,1478
Europe,NHM0247274918,Low Impact,900,Low Impact,2122
Europe,NHM0247274918,Moderate Impact,731,Moderate Impact,1741
Europe,OX16,Low Impact,836,Low Impact,2116
Europe,OX16,Moderate Impact,667,Moderate Impact,1726
Europe,NHM0247276027,Low Impact,897,Low Impact,1942
Europe,NHM0247276027,Moderate Impact,722,Moderate Impact,1552
GB,NHM0247276019,Low Impact,935,Low Impact,1644
GB,NHM0247276019,Moderate Impact,737,Moderate Impact,1337
Europe,OX11,Low Impact,845,Low Impact,1958
Europe,OX11,Moderate Impact,666,Moderate Impact,1668
Europe,NHM0247274898,Low Impact,854,Low Impact,2005
Europe,NHM0247274898,Moderate Impact,689,Moderate Impact,1659
GB,NHM0247276026,Low Impact,859,Low Impact,1826
GB,NHM0247276026,Moderate Impact,692,Moderate Impact,1553
GB,OX8,Low Impact,894,Low Impact,1798
GB,OX8,Moderate Impact,684,Moderate Impact,1484
GB,OX10,Low Impact,898,Low Impact,1660
GB,OX10,Moderate Impact,701,Moderate Impact,1400
GB,NHM0247274489,Low Impact,917,Low Impact,1804
GB,NHM0247274489,Moderate Impact,744,Moderate Impact,1448
Europe,OX15,Low Impact,849,Low Impact,1904
Europe,OX15,Moderate Impact,682,Moderate Impact,1547
Europe,OX13,Low Impact,838,Low Impact,2058
Europe,OX13,Moderate Impact,654,Moderate Impact,1671
