ID,sample,Hom_Pred,HomCounts,Tot_Pred,TotCounts
GB,OX5,Low Impact,881,Low Impact,1805
GB,OX5,Medium Impact,694,Medium Impact,1478
GB,OX5,High Impact,5,High Impact,19
Europe,NHM0247274918,Low Impact,900,Low Impact,2122
Europe,NHM0247274918,Medium Impact,731,Medium Impact,1741
Europe,NHM0247274918,High Impact,5,High Impact,22
Europe,OX16,Low Impact,836,Low Impact,2116
Europe,OX16,Medium Impact,667,Medium Impact,1726
Europe,OX16,High Impact,5,High Impact,22
Europe,NHM0247276027,Low Impact,897,Low Impact,1942
Europe,NHM0247276027,Medium Impact,722,Medium Impact,1552
Europe,NHM0247276027,High Impact,7,High Impact,19
GB,NHM0247276019,Low Impact,935,Low Impact,1644
GB,NHM0247276019,Medium Impact,737,Medium Impact,1337
GB,NHM0247276019,High Impact,8,High Impact,18
Europe,OX11,Low Impact,845,Low Impact,1958
Europe,OX11,Medium Impact,666,Medium Impact,1668
Europe,OX11,High Impact,7,High Impact,19
Europe,NHM0247274898,Low Impact,854,Low Impact,2005
Europe,NHM0247274898,Medium Impact,689,Medium Impact,1659
Europe,NHM0247274898,High Impact,6,High Impact,16
GB,NHM0247276026,Low Impact,859,Low Impact,1826
GB,NHM0247276026,Medium Impact,692,Medium Impact,1553
GB,NHM0247276026,High Impact,4,High Impact,19
GB,OX8,Low Impact,894,Low Impact,1798
GB,OX8,Medium Impact,684,Medium Impact,1484
GB,OX8,High Impact,7,High Impact,11
GB,OX10,Low Impact,898,Low Impact,1660
GB,OX10,Medium Impact,701,Medium Impact,1400
GB,OX10,High Impact,5,High Impact,19
GB,NHM0247274489,Low Impact,917,Low Impact,1804
GB,NHM0247274489,Medium Impact,744,Medium Impact,1448
GB,NHM0247274489,High Impact,7,High Impact,18
Europe,OX15,Low Impact,849,Low Impact,1904
Europe,OX15,Medium Impact,682,Medium Impact,1547
Europe,OX15,High Impact,4,High Impact,22
Europe,OX13,Low Impact,838,Low Impact,2058
Europe,OX13,Medium Impact,654,Medium Impact,1671
Europe,OX13,High Impact,8,High Impact,22
